Data,Esecuzione,Rank,Azienda,Sede,Provincia,Regione,Fatturato (€),Dipendenti,Settore,Score (1-100),Segnali ICP,Decisore,Ruolo Decisore,Email Azienda,LinkedIn Azienda,Note,Status
2026-07-10,#9,1,AMM SRL (Autotrasporti Mezzapesa Massimiliano),Vignate,MI,Lombardia,"16,293,392",82,Autotrasporti conto terzi,95,"Nuovo magazzino 7.000 mq gen 2026 (era 4.000 mq); +35.45% fatturato YoY; 4 sedi operative",Massimiliano Mezzapesa,Titolare/Owner,mezzapesatrasporti@mezzapesatrasporti.com,Non trovato,"Multi-sede: Vignate+Settala+Leini+Bassano; serve forwarder internazionali; fase stabilizzazione post-espansione",Da contattare
2026-07-10,#9,2,Autotrasporti Cram SRL,Lograto,BS,Lombardia,"35,716,457","100-199",Autotrasporti nazionali e internazionali,88,"Hiring disponente traffico; flotta 320+ veicoli; 19.000 mq magazzino; rotte Nord Africa",Marco Signorelli,Responsabile Commerciale,info@cram.it,https://it.linkedin.com/company/autotrasporti-cram-s-r-l/,"Famiglia Ghidini (3ª gen. fondata 1968); anche Nicola Ghidini su LinkedIn; Loredana Ghidini resp. amministrativa",Da contattare
2026-07-10,#9,3,Scaglia Trasporti Srl,Cavenago di Brianza,MB,Lombardia,"6,658,568","20-49",Trasporto merci su strada + groupage LTL + ADR,85,"JOB AD ATTIVO impiegato ufficio spedizioni (Indeed); margine netto 11.9%; 2 sedi (Cavenago+Basiano)",Stefano (cognome da verificare),Referente operativo,info@scagliatrasporti.it,https://it.linkedin.com/company/scaglia-trasporti-srl,"Anche: stefano@scagliatrasporti.it; fondato 2007; tel +39 02 95760195; intercettare PRIMA che assumano",Urgente — contattare subito
2026-07-10,#9,4,I-Dika SRL,Settimo Torinese,TO,Piemonte,"14,772,241",60,Spedizioni internazionali — logistica vino/spirits/moda,83,"Nuovo hub 35.000 mq (52 baie) inaugurato dic 2023; specialista temperatura controllata; road/sea/air",Mauro Ticca,CEO/AD,info@i-dika.com,https://it.linkedin.com/company/i-dika-srl,"Sussidiaria Sogedim SpA (gruppo escluso ma I-Dika autonoma); LinkedIn CEO: linkedin.com/in/mauro-ticca/; tel +39 011 982 66 11",Da contattare
2026-07-10,#9,5,Alpi Express SRL,Montemurlo,PO,Toscana,"12,836,420","20-40",Spedizioni espresse nazionali e internazionali; trasporti diretti,80,"Sezione Lavora con noi attiva; hiring in corso; partner logistica tessile/manifatturiera; 35+ anni attività",Massimiliano Fedi,Responsabile Commerciale,m.fedi@alpiexpress.it,Non trovato,"Anche: Adriano Bruni (Resp. Operativo) adriano.bruni@alpiexpress.it; tel 0574.625104; sito alpiexpress.it",Da contattare
2026-07-10,#9,6,Intermodaltrasporti SRL,Ferentino,FR,Lazio,"69,953,930","100-249",Intermediario trasporto intermodale (ATECO 52.29.21),75,"3 sedi (Ferentino+Anagni+Agognate NO); intermodale door-to-door internazionale; fondata 1987",Da verificare,Da verificare,info@intermodaltrasporti.it,Non trovato,"Fatturato borderline (~€70M vs cap €75M); alta complessità documentale intermodale = forte fit prodotto",Da contattare
2026-07-10,#9,7,Brescia Service SRL,Manerbio,BS,Lombardia,"34,977,580","200-249",Corriere espresso — concessionario GLS provincia Brescia,74,"Hiring impiegati amministrativi/contabili 2025-2026; 3 hub operativi (Manerbio+Cazzago+Darfo)",Da verificare (visura CCIAA),Da verificare,Non trovato,Non trovato,"Dipendenti al limite superiore ICP (249); tel hub Manerbio: 030 5247000; visura camerale raccomandata per contatto",Da qualificare
2026-07-10,#9,8,Setrans SRL,Brescia,BS,Lombardia,"19,723,624","20-49",Spedizioni — dogane — logistica intermodale ferroviaria,72,"Hiring ufficio traffico; complessità multimodale ferro+gomma; specialista trasporto acciaio",Savino Bontacchio,Amministratore (40% quota),Non trovato,https://www.linkedin.com/company/setrans-s-r-l.,"⚠️ 60% acquisito da Acciaierie Venete SpA (ago 2023) — verificare se decisioni IT restano locali; tel +39 030 216 0550",Da qualificare (verifica struttura)
2026-07-10,#9,9,Tonoli Spedizioni SRL,Verzuolo,CN,Piemonte,"13,921,825","20-49",Spedizioni internazionali — specialista Italia-Spagna-Portogallo,72,"60+ anni attività; 60.000+ spedizioni/anno; complessità export/import documentale Iberia",Da verificare,Da verificare,info@tonoli.com,Non trovato,"⚠️ Dipendenti da verificare (fonti conflittuali: 10-19 vs 20-49); forte volume shipment = alto numero DDT",Da qualificare
2026-07-10,#9,10,Porrini Srl,Campogalliano,MO,Emilia-Romagna,"10,289,620","16-19",Trasporti stradali nazionali e internazionali (ATECO 49.41),68,"Espansione in Porrini Group (5 società collegate); posizione strategica hub Interporto MO-RE",Massimo Porrini,CEO/Co-Fondatore,commerciale@porrini.com,https://it.linkedin.com/company/porrini-s-r-l-,"LinkedIn CEO: linkedin.com/in/massimo-porrini-51930a51; tel +39 059 5222000; sito porrini.com",Da contattare
